Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.8_b5_p0,"M=32 efC=200 ef=800 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4",64,0.9890787949,1.0000,167.6387,3.0374,0.0000,0.341489,"0.341489;0.341078;0.342407",98.924971,10108.67,,4.45,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b5_p0,"M=32 efC=200 ef=1600 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4",64,0.9916280417,1.0000,167.6387,3.0374,0.0000,0.653114,"0.653914;0.653114;0.652930",189.198725,5285.45,,4.45,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b5_p0,"M=32 efC=200 ef=3200 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4",64,0.9933661645,1.0000,167.6387,3.0374,0.0000,1.219359,"1.218149;1.219359;1.219737",353.232619,2831.00,,4.45,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p0,"M=32 efC=200 ef=800 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4",64,0.9900926999,1.0000,167.6387,3.0374,0.0000,0.342384,"0.342384;0.342429;0.341043",99.184241,10082.25,,4.45,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p0,"M=32 efC=200 ef=1600 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4",64,0.9927288528,1.0000,167.6387,3.0374,0.0000,0.653667,"0.654735;0.653044;0.653667",189.358922,5280.98,,4.45,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p0,"M=32 efC=200 ef=3200 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4",64,0.9944959444,1.0000,167.6387,3.0374,0.0000,1.220229,"1.221161;1.220229;1.218898",353.484647,2828.98,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b5_p256,"M=32 efC=200 ef=800 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4 pat=256",64,0.9880648899,1.0000,167.6387,3.0374,0.0000,0.199180,"0.199648;0.198824;0.199180",57.699884,17331.06,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b5_p256,"M=32 efC=200 ef=1600 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4 pat=256",64,0.9884994206,1.0000,167.6387,3.0374,0.0000,0.209329,"0.210157;0.208925;0.209329",60.639919,16490.79,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b5_p256,"M=32 efC=200 ef=3200 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4 pat=256",64,0.9884994206,1.0000,167.6387,3.0374,0.0000,0.216546,"0.216546;0.215892;0.217197",62.730591,15941.19,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p256,"M=32 efC=200 ef=800 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4 pat=256",64,0.9897161066,1.0000,167.6387,3.0374,0.0000,0.235738,"0.235608;0.235738;0.235947",68.290267,14643.38,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p256,"M=32 efC=200 ef=1600 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4 pat=256",64,0.9907879490,1.0000,167.6387,3.0374,0.0000,0.260626,"0.260726;0.260501;0.260626",75.500000,13245.03,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p256,"M=32 efC=200 ef=3200 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4 pat=256",64,0.9908458864,1.0000,167.6387,3.0374,0.0000,0.269561,"0.269561;0.270457;0.268969",78.088355,12806.01,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b5_p512,"M=32 efC=200 ef=800 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4 pat=512",64,0.9890208575,1.0000,167.6387,3.0374,0.0000,0.291918,"0.290349;0.291918;0.291992",84.564890,11825.24,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b5_p512,"M=32 efC=200 ef=1600 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4 pat=512",64,0.9905561993,1.0000,167.6387,3.0374,0.0000,0.340156,"0.340556;0.339737;0.340156",98.538818,10148.28,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b5_p512,"M=32 efC=200 ef=3200 alpha=0.8 beta=5 q=u8 seedT=8 seedH=8 seedS=4 pat=512",64,0.9909038239,1.0000,167.6387,3.0374,0.0000,0.353201,"0.353201;0.352957;0.354105",102.317787,9773.47,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p512,"M=32 efC=200 ef=800 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4 pat=512",64,0.9900347625,1.0000,167.6387,3.0374,0.0000,0.311810,"0.312287;0.311810;0.311582",90.327346,11070.84,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p512,"M=32 efC=200 ef=1600 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4 pat=512",64,0.9920915411,1.0000,167.6387,3.0374,0.0000,0.396917,"0.397275;0.396917;0.396020",114.981750,8697.03,,4.46,0,3452,10,True,nid004881,57367322
SparseHNSW_a0.8_b8_p512,"M=32 efC=200 ef=3200 alpha=0.8 beta=8 q=u8 seedT=8 seedH=8 seedS=4 pat=512",64,0.9926709154,1.0000,167.6387,3.0374,0.0000,0.428352,"0.428234;0.429363;0.428352",124.088065,8058.79,,4.46,0,3452,10,True,nid004881,57367322
